record_type,model_id,z_curve,mu_theory_curve,sn_name,source_table,z_true,mu_true,sigma_mu,m_apparent,lambda_Halpha,sample_type,quality,sequence_order,sequence_order_resolved,H0_km_s_Mpc,M_ref_type_Ia,Halpha_rest_A,implied_abs_M_from_m_mu,abs_M_minus_M_ref,lambda_Halpha_from_z_true,lambda_Halpha_minus_expected,flux_relative,sigma_z_assumed,rng_seed,z_obs,mu_obs,mu_model_EdS_z_true,mu_model_open_matter_z_true,mu_model_flat_LCDM_z_true,mu_model_EdS_z_obs,mu_model_open_matter_z_obs,mu_model_flat_LCDM_z_obs,residual_obs_minus_open_matter_at_z_obs,chi2_increment_EdS,chi2_increment_open_matter,chi2_increment_flat_LCDM,cumchi2_EdS_after_this_sequence,cumchi2_open_matter_after_this_sequence,cumchi2_flat_LCDM_after_this_sequence
supernova,,,,1992bo,T10,0.0181,34.72,0.16,15.42,6681.7903,low-z,well-observed,,17,70,-19.3,6563,-19.3,3.5527137e-15,6681.7903,0,6.7920363e-07,0.001,42,0.015480055,34.622897,34.456722,34.463601,34.477063,34.115799,34.121682,34.133231,0.50121521,10.044878,9.813152,9.3661324,207.44073,128.59089,69.777499
supernova,,,,1992bc,T10,0.02,34.87,0.11,15.57,6694.26,low-z,well-observed,,18,70,-19.3,6563,-19.3,3.5527137e-15,6694.26,0,5.9156163e-07,0.001,42,0.01908419,34.966361,34.674487,34.682088,34.696929,34.57222,34.579473,34.59365,0.38688792,12.838609,12.370435,11.480464,220.27934,140.96132,81.257963
supernova,,,,1992aq,T10,0.1008,38.41,0.15,19.11,7224.5504,low-z,well-observed,,19,70,-19.3,6563,-19.3,3.5527137e-15,7224.5504,0,2.2698649e-08,0.001,42,0.10146427,38.227139,38.227426,38.26568,38.333672,38.242008,38.280514,38.3489,-0.053375092,0.0098266706,0.1266178,0.65892584,220.28917,141.08794,81.916889
supernova,,,,1992ae,T10,0.0746,37.8,0.17,18.5,7052.5998,low-z,well-observed,,20,70,-19.3,6563,-19.3,3.5527137e-15,7052.5998,0,3.9810717e-08,0.001,42,0.075447361,37.629626,37.561015,37.589349,37.641237,37.585961,37.614616,37.667042,0.015009412,0.065971836,0.0077952408,0.048442865,220.35514,141.09573,81.965332
supernova,,,,1992P,T10,0.0262,35.76,0.13,16.46,6734.9506,low-z,well-observed,,21,70,-19.3,6563,-19.3,3.5527137e-15,6734.9506,0,2.6061535e-07,0.001,42,0.026113756,35.721793,35.264114,35.274072,35.29337,35.256909,35.266834,35.286071,0.4549589,12.78798,12.247787,11.233952,233.14312,153.34352,93.199284
supernova,,,,1990af,T10,0.0502,36.53,0.15,17.23,6892.4626,low-z,well-observed,,22,70,-19.3,6563,-19.3,0,6892.4626,0,1.2823306e-07,0.001,42,0.05031442,36.652795,36.688559,36.707635,36.743572,36.693561,36.71268,36.748694,-0.059884746,0.073860219,0.1593859,0.40873815,233.21698,153.50291,93.608022
supernova,,,,1994M,T10,0.0241,35.39,0.18,16.09,6721.1683,low-z,well-observed,,23,70,-19.3,6563,-19.3,0,6721.1683,0,3.6643757e-07,0.001,42,0.024738414,35.452979,35.081588,35.090747,35.108543,35.138698,35.1481,35.166354,0.30487891,3.0485356,2.8688626,2.5356212,236.26552,156.37177,96.143643
supernova,,,,1994S,T10,0.0161,34.27,0.12,14.97,6668.6643,low-z,well-observed,,24,70,-19.3,6563,-19.3,-3.5527137e-15,6668.6643,0,1.0280163e-06,0.001,42,0.016749948,34.327419,34.201396,34.207515,34.219517,34.28768,34.294046,34.306523,0.033373485,0.1096682,0.077346494,0.030322426,236.37518,156.44912,96.173966
supernova,,,,1994T,T10,0.0357,36.19,0.21,16.89,6797.2991,low-z,well-observed,,25,70,-19.3,6563,-19.3,3.5527137e-15,6797.2991,0,1.7538805e-07,0.001,42,0.035073015,36.039352,35.940913,35.954481,35.980481,35.902112,35.915441,35.941004,0.12391081,0.42709451,0.34816074,0.21932798,236.80228,156.79728,96.393294
supernova,,,,1995D,T10,0.0083,33.01,0.13,13.71,6617.4729,low-z,well-observed,,26,70,-19.3,6563,-19.3,3.5527137e-15,6617.4729,0,3.2809529e-06,0.001,42,0.0078300317,33.074912,32.758486,32.761641,32.767886,32.631661,32.634637,32.640532,0.44027581,11.625557,11.469987,11.164874,248.42783,168.26726,107.55817
supernova,,,,1995E,T10,0.0117,33.6,0.17,14.3,6639.7871,low-z,well-observed,,27,70,-19.3,6563,-19.3,0,6639.7871,-9.094947e-13,1.9054607e-06,0.001,42,0.011449884,33.997078,33.505848,33.510295,33.519063,33.45879,33.463142,33.471726,0.53393622,10.026079,9.8646326,9.5500154,258.45391,178.1319,117.10818
supernova,,,,1995ac,T10,0.0489,36.85,0.13,17.55,6883.9307,low-z,well-observed,,28,70,-19.3,6563,-19.3,0,6883.9307,0,9.5499259e-08,0.001,42,0.048080707,36.707146,36.630921,36.649502,36.684563,36.593811,36.612082,36.646588,0.095064333,0.76004835,0.53474718,0.21699714,259.21396,178.66664,117.32518
supernova,,,,1995ak,T10,0.022,35.15,0.16,15.85,6707.386,low-z,well-observed,,29,70,-19.3,6563,-19.3,3.5527137e-15,6707.386,0,4.5708819e-07,0.001,42,0.022768474,35.377496,34.882508,34.89087,34.907156,34.95747,34.966124,34.982963,0.41137242,6.8914728,6.6104403,6.0803228,266.10543,185.27708,123.4055
supernova,,,,1995bd,T10,0.0159,34.15,0.19,14.85,6667.3517,low-z,well-observed,,30,70,-19.3,6563,-19.3,3.5527137e-15,6667.3517,0,1.1481536e-06,0.001,42,0.016405693,34.308805,34.174146,34.180189,34.192045,34.242402,34.248637,34.260863,0.06016813,0.12214373,0.10028266,0.063668745,266.22758,185.37737,123.46917
supernova,,,,1996C,T10,0.028,35.98,0.2,16.68,6746.764,low-z,well-observed,,31,70,-19.3,6563,-19.3,3.5527137e-15,6746.764,0,2.128139e-07,0.001,42,0.029426345,35.961195,35.409343,35.419985,35.440565,35.517982,35.529166,35.550757,0.43202887,4.9109343,4.6662237,4.2114681,271.13851,190.04359,127.68064
supernova,,,,1996ab,T10,0.1243,39.01,0.13,19.71,7378.7809,low-z,well-observed,,32,70,-19.3,6563,-19.3,3.5527137e-15,7378.7809,-9.094947e-13,1.3061709e-08,0.001,42,0.12287704,38.94083,38.69364,38.740769,38.822346,38.667971,38.714563,38.79534,0.22626725,4.405448,3.0294004,1.2525124,275.54396,193.07299,128.93315
supernova,,,,1992ag,T10,0.0259,35.37,0.23,16.07,6732.9817,low-z,well-observed,,33,70,-19.3,6563,-19.3,3.5527137e-15,6732.9817,0,3.7325016e-07,0.001,42,0.026852896,35.037954,35.238949,35.248793,35.267877,35.317907,35.328112,35.347876,-0.29015832,1.4815401,1.5915284,1.8157229,277.0255,194.66452,130.74888
supernova,,,,1992al,T10,0.0141,33.92,0.11,14.62,6655.5383,low-z,well-observed,,34,70,-19.3,6563,-19.3,-3.5527137e-15,6655.5383,0,1.4190575e-06,0.001,42,0.014133531,33.947856,33.912297,33.917655,33.928192,33.917472,33.922844,33.933405,0.025012306,0.076295503,0.051703758,0.017258547,277.1018,194.71622,130.76613
supernova,,,,1992bg,T10,0.0352,36.26,0.21,16.96,6794.0176,low-z,well-observed,,35,70,-19.3,6563,-19.3,3.5527137e-15,6794.0176,9.094947e-13,1.6443717e-07,0.001,42,0.034884408,36.411963,35.910026,35.923403,35.949055,35.890305,35.903563,35.928994,0.5083999,6.1706726,5.8610081,5.2893216,283.27247,200.57723,136.05546
supernova,,,,1992bh,T10,0.045,36.91,0.17,17.61,6858.335,low-z,well-observed,,36,70,-19.3,6563,-19.3,3.5527137e-15,6858.335,9.094947e-13,9.0364947e-08,0.001,42,0.04558078,37.304639,36.44844,36.46554,36.497954,36.476584,36.493905,36.526715,0.81073401,23.725793,22.743586,20.940025,306.99826,223.32082,156.99548
supernova,,,,1992bl,T10,0.043,36.26,0.15,16.96,6845.209,low-z,well-observed,,37,70,-19.3,6563,-19.3,3.5527137e-15,6845.209,0,1.6443717e-07,0.001,42,0.043619968,36.168589,36.348691,36.365032,36.396078,36.380094,36.396671,36.428142,-0.22808124,1.9881905,2.3120467,2.9941062,308.98645,225.63286,159.98959
supernova,,,,1992bp,T10,0.0798,37.65,0.13,18.35,7086.7274,low-z,well-observed,,38,70,-19.3,6563,-19.3,3.5527137e-15,7086.7274,-9.094947e-13,4.5708819e-08,0.001,42,0.079238202,37.541894,37.709907,37.740212,37.795379,37.694288,37.72438,37.779196,-0.18248587,1.3741972,1.9704789,3.3320612,310.36065,227.60334,163.32165
supernova,,,,1992br,T10,0.0873,38.21,0.19,18.91,7135.9499,low-z,well-observed,,39,70,-19.3,6563,-19.3,0,7135.9499,0,2.7289778e-08,0.001,42,0.088252274,38.102302,37.908646,37.941792,38.001615,37.932669,37.966176,38.026584,0.13612585,0.7970945,0.51330325,0.15881211,311.15774,228.11665,163.48046
supernova,,,,1992bs,T10,0.064,37.61,0.14,18.31,6983.032,low-z,well-observed,,40,70,-19.3,6563,-19.3,0,6983.032,0,4.7424199e-08,0.001,42,0.063929739,37.714902,37.222929,37.247243,37.292318,37.220509,37.244796,37.289825,0.47010682,12.470674,11.275532,9.2189148,323.62842,239.39218,172.69937
supernova,,,,1993H,T10,0.0248,35.2,0.26,15.9,6725.7624,low-z,well-observed,,41,70,-19.3,6563,-19.3,-3.5527137e-15,6725.7624,0,4.3651583e-07,0.001,42,0.024076537,35.123649,35.14413,35.153555,35.171853,35.079461,35.088611,35.10639,0.035037845,0.028884829,0.018160512,0.0044062541,323.6573,239.41034,172.70378
supernova,,,,1993O,T10,0.0515,37.03,0.12,17.73,6900.9945,low-z,well-observed,,42,70,-19.3,6563,-19.3,0,6900.9945,-9.094947e-13,8.090959e-08,0.001,42,0.049658714,36.900103,36.74474,36.764309,36.80112,36.664741,36.683611,36.719184,0.21649126,3.8468664,3.2547547,2.2730287,327.50417,242.66509,174.97681
supernova,,,,1993ag,T10,0.0501,36.8,0.17,17.5,6891.8063,low-z,well-observed,,43,70,-19.3,6563,-19.3,3.5527137e-15,6891.8063,0,1e-07,0.001,42,0.049532264,36.870679,36.684178,36.703216,36.739085,36.65914,36.677962,36.713449,0.19271715,1.5484,1.2851176,0.85540689,329.05257,243.95021,175.83222
supernova,,,,1994U,T9,0.0043,31.72,0.1,12.42,6591.2209,low-z,snapshot,,44,70,-19.3,6563,-19.3,3.5527137e-15,6591.2209,0,1.0764652e-05,0.001,42,0.0054934933,31.718153,31.328284,31.329918,31.333169,31.860828,31.862916,31.867064,-0.14476272,2.0356163,2.0956245,2.2174321,331.08819,246.04583,178.04965
supernova,,,,1997bp,T9,0.0077,32.81,0.1,13.51,6613.5351,low-z,snapshot,,45,70,-19.3,6563,-19.3,-3.5527137e-15,6613.5351,0,3.944573e-06,0.001,42,0.0079613643,32.826797,32.595227,32.598153,32.603952,32.667851,32.670877,32.67687,0.15591993,2.5263689,2.4311023,2.2477996,333.61455,248.47694,180.29745
supernova,,,,1996V,T9,0.0247,35.35,0.17,16.05,6725.1061,low-z,snapshot,,46,70,-19.3,6563,-19.3,0,6725.1061,0,3.801894e-07,0.001,42,0.025784741,35.50187,35.135304,35.144691,35.162917,35.229204,35.239003,35.258005,0.26286712,2.5725684,2.3909732,2.0577952,336.18712,250.86791,182.35524
supernova,,,,1994C,T9,0.0515,36.72,0.15,17.42,6900.9945,low-z,snapshot,,47,70,-19.3,6563,-19.3,3.5527137e-15,6900.9945,-9.094947e-13,1.0764652e-07,0.001,42,0.051773693,36.568358,36.74474,36.764309,36.80112,36.756389,36.776062,36.813057,-0.20770367,1.5713571,1.9173695,2.6612146,337.75848,252.78528,185.01646
supernova,,,,1995M,T9,0.053,37.12,0.15,17.82,6910.839,low-z,snapshot,,48,70,-19.3,6563,-19.3,3.5527137e-15,6910.839,0,7.4473197e-08,0.001,42,0.053903385,37.177157,36.807847,36.827986,36.865802,36.845007,36.865489,36.903909,0.311668,4.9032598,4.3171974,3.3184298,342.66174,257.10248,188.33489
supernova,,,,1995ae,T9,0.0678,37.58,0.21,18.28,7007.9714,low-z,snapshot,,49,70,-19.3,6563,-19.3,3.5527137e-15,7007.9714,0,4.8752849e-08,0.001,42,0.069026942,37.57372,37.350082,37.375837,37.423375,37.38964,37.415861,37.464189,0.15785909,0.7683746,0.56506786,0.27203973,343.43011,257.66754,188.60693
supernova,,,,1994B,T9,0.0899,38.51,0.1,19.21,7153.0137,low-z,snapshot,,50,70,-19.3,6563,-19.3,3.5527137e-15,7153.0137,0,2.0701413e-08,0.001,42,0.091853101,38.474112,37.973642,38.007773,38.06919,38.021264,38.056133,38.118742,0.41797904,20.50719,17.470648,12.628821,363.9373,275.13819,201.23575
