model_id,z,mu_theory,H0_km_s_Mpc
EdS,0.2721306533,40.45923639,70
open_matter,0.2721306533,40.56138838,70
flat_LCDM,0.2721306533,40.7122114,70
EdS,0.2781557789,40.50919892,70
open_matter,0.2781557789,40.61355737,70
flat_LCDM,0.2781557789,40.76667833,70
EdS,0.2841809045,40.55812804,70
open_matter,0.2841809045,40.66468974,70
flat_LCDM,0.2841809045,40.82007196,70
EdS,0.2902060302,40.60606664,70
open_matter,0.2902060302,40.71482836,70
flat_LCDM,0.2902060302,40.87243565,70
EdS,0.2962311558,40.65305502,70
open_matter,0.2962311558,40.76401347,70
flat_LCDM,0.2962311558,40.92381007,70
EdS,0.3022562814,40.69913101,70
open_matter,0.3022562814,40.81228289,70
flat_LCDM,0.3022562814,40.97423349,70
EdS,0.308281407,40.74433024,70
open_matter,0.308281407,40.8596722,70
flat_LCDM,0.308281407,41.02374192,70
EdS,0.3143065327,40.78868624,70
open_matter,0.3143065327,40.90621493,70
flat_LCDM,0.3143065327,41.07236932,70
EdS,0.3203316583,40.83223067,70
open_matter,0.3203316583,40.95194269,70
flat_LCDM,0.3203316583,41.12014772,70
EdS,0.3263567839,40.87499341,70
open_matter,0.3263567839,40.99688533,70
flat_LCDM,0.3263567839,41.16710741,70
EdS,0.3323819095,40.91700271,70
open_matter,0.3323819095,41.04107109,70
flat_LCDM,0.3323819095,41.21327701,70
EdS,0.3384070352,40.95828529,70
open_matter,0.3384070352,41.08452665,70
flat_LCDM,0.3384070352,41.25868364,70
EdS,0.3444321608,40.99886648,70
open_matter,0.3444321608,41.12727731,70
flat_LCDM,0.3444321608,41.30335301,70
EdS,0.3504572864,41.03877028,70
open_matter,0.3504572864,41.16934707,70
flat_LCDM,0.3504572864,41.34730948,70
EdS,0.3564824121,41.07801948,70
open_matter,0.3564824121,41.21075868,70
flat_LCDM,0.3564824121,41.39057622,70
EdS,0.3625075377,41.11663572,70
open_matter,0.3625075377,41.25153377,70
flat_LCDM,0.3625075377,41.43317524,70
EdS,0.3685326633,41.15463958,70
open_matter,0.3685326633,41.29169288,70
flat_LCDM,0.3685326633,41.47512748,70
EdS,0.3745577889,41.19205064,70
open_matter,0.3745577889,41.33125558,70
flat_LCDM,0.3745577889,41.51645288,70
EdS,0.3805829146,41.22888755,70
open_matter,0.3805829146,41.3702405,70
flat_LCDM,0.3805829146,41.55717043,70
EdS,0.3866080402,41.26516807,70
open_matter,0.3866080402,41.40866539,70
flat_LCDM,0.3866080402,41.59729826,70
EdS,0.3926331658,41.30090917,70
open_matter,0.3926331658,41.44654719,70
flat_LCDM,0.3926331658,41.63685366,70
EdS,0.3986582915,41.33612701,70
open_matter,0.3986582915,41.48390205,70
flat_LCDM,0.3986582915,41.67585317,70
EdS,0.4046834171,41.37083707,70
open_matter,0.4046834171,41.52074542,70
flat_LCDM,0.4046834171,41.71431258,70
EdS,0.4107085427,41.40505411,70
open_matter,0.4107085427,41.55709205,70
flat_LCDM,0.4107085427,41.75224699,70
EdS,0.4167336683,41.43879226,70
open_matter,0.4167336683,41.59295607,70
flat_LCDM,0.4167336683,41.78967088,70
EdS,0.422758794,41.47206505,70
open_matter,0.422758794,41.62835098,70
flat_LCDM,0.422758794,41.82659808,70
